mesh,component,quantity,baseline_surface_order,comparison_surface_order,surface_q3_L2,comparison_L2,absolute_change,relative_change
iv80,rhow,jump_face,3,7,0.0,0.0,0.0,
iv80,rhoE,jump_face,3,7,0.0007935779733831136,0.000793577973383114,3.2526065174565133e-19,4.440892098500626e-16
iv80,rho,roe_quadrature,3,7,0.00011173980131866322,0.00011174235508019908,2.5537615358576767e-09,2.28545380045464e-05
iv80,rhou,roe_quadrature,3,7,0.00023364046169888742,0.00023364578266537713,5.320966489711894e-09,2.277416527518561e-05
iv80,rhov,roe_quadrature,3,7,0.00023369253266158368,0.00023369785900270138,5.326341117700651e-09,2.279208949063083e-05
iv80,rhow,roe_quadrature,3,7,4.0254391058985306e-17,4.025518073266e-17,7.8967367469451815e-22,
iv80,rhoE,roe_quadrature,3,7,0.0007416650058619877,0.0007416828840122887,1.787815030100757e-08,2.4105425171283557e-05
iv80,rho,roe_face,3,7,0.0001083637664979729,0.00010836378353336287,1.7035389971494647e-11,1.5720559121135125e-07
iv80,rhou,roe_face,3,7,0.00022780071627136121,0.00022780074209061946,2.5819258243995474e-11,1.1334142691055149e-07
iv80,rhov,roe_face,3,7,0.0002279903823593752,0.00022799041013538395,2.777600876082212e-11,1.2182973896379679e-07
iv80,rhow,roe_face,3,7,7.259714664152824e-18,4.446036203667988e-18,-2.813678460484836e-18,
iv80,rhoE,roe_face,3,7,0.000721926767585785,0.0007219268851091782,1.1752339325234867e-10,1.6279129488872002e-07
iv80,rho,central_rhs,3,7,0.00035703941769581416,0.000357039417695829,1.485356976305141e-17,4.1522341120980855e-14
iv80,rhou,central_rhs,3,7,0.0006901724987663565,0.0006901724690348481,-2.973150837939226e-11,-4.307837309092122e-08
iv80,rhov,central_rhs,3,7,0.00078071859971118,0.0007807185820867949,-1.7624385132732068e-11,-2.2574567992705852e-08
iv80,rhow,central_rhs,3,7,2.2622230332698195e-06,2.262238282091446e-06,1.5248821626448884e-11,6.740635826840702e-06
iv80,rhoE,central_rhs,3,7,0.0023594545644010055,0.002359454513689333,-5.071167270831456e-11,-2.1492964297209483e-08
iv80,rho,roe_rhs,3,7,0.000530344835801623,0.000530344294700224,-5.411013989306546e-10,-1.0202822058325012e-06
iv80,rhou,roe_rhs,3,7,0.0011853238520954416,0.001185324089739781,2.376443393199007e-10,2.0048895410518242e-07
iv80,rhov,roe_rhs,3,7,0.001181366574587924,0.0011813667148518627,1.4026393870165965e-10,1.1873024141628719e-07
iv80,rhow,roe_rhs,3,7,1.2979337085383065e-16,6.68317589592902e-17,-6.296161189454045e-17,
