mode,mesh,nodes,region,variables,component,quantity,L1,L2,Linf
efficient,10,745,all,conservative,rhow,gradient,5.420281714313031e-17,7.717761426573718e-17,5.055380943449712e-16
efficient,10,745,all,conservative,rhow,mean,2.996529346322436e-17,3.7657193860238866e-17,1.330722641454396e-16
efficient,10,745,all,conservative,rhow,value,2.0619943930479703e-17,2.914187954906997e-17,2.3332030751888055e-16
efficient,10,745,all,primitive,p,dx,2.6714043485605764e-16,5.204883881916591e-16,4.1988210936036614e-15
efficient,10,745,all,primitive,p,dy,2.511515834841845e-16,4.822639036689624e-16,4.645226726806228e-15
efficient,10,745,all,primitive,p,dz,4.2339420116655666e-16,7.215801513837797e-16,4.388416713352328e-15
efficient,10,745,all,primitive,p,gradient,6.956961976462911e-16,1.0120101530594523e-15,5.534027400433941e-15
efficient,10,745,all,primitive,p,value,6.229267286270973e-16,7.846989649422883e-16,2.8323697554011318e-15
efficient,10,745,all,primitive,rho,dx,2.043787019991362e-16,3.8886337878318196e-16,4.4158622749092616e-15
efficient,10,745,all,primitive,rho,dy,2.1649741356107675e-16,4.4162639760027147e-16,3.809308757644035e-15
efficient,10,745,all,primitive,rho,dz,3.2716252019284426e-16,5.844274119701563e-16,4.134996313995103e-15
efficient,10,745,all,primitive,rho,gradient,5.546633014500069e-16,8.293394975992645e-16,5.55972554075667e-15
efficient,10,745,all,primitive,rho,value,2.1820435872259779e-16,3.167844904932848e-16,1.7973903615464693e-15
efficient,10,745,all,primitive,u,dx,4.5212515012199255e-17,8.127593910898744e-17,6.877229905347115e-16
efficient,10,745,all,primitive,u,dy,4.6330705472086304e-17,8.96974965999279e-17,8.997510073419871e-16
efficient,10,745,all,primitive,u,dz,6.678197277518027e-17,1.1498394913448203e-16,6.722417164181855e-16
efficient,10,745,all,primitive,u,gradient,1.1570236103363991e-16,1.6695127352884454e-16,9.040113221487037e-16
efficient,10,745,all,primitive,u,value,5.152750047985512e-17,6.77227020591169e-17,2.939001039065081e-16
efficient,10,745,all,primitive,v,dx,2.4164915304431324e-17,4.328600286744227e-17,3.615556958981429e-16
efficient,10,745,all,primitive,v,dy,2.6639318615261315e-17,5.43902787719204e-17,5.861815278508133e-16
efficient,10,745,all,primitive,v,dz,4.00614082373785e-17,6.828327769602898e-17,4.885203230982869e-16
efficient,10,745,all,primitive,v,gradient,6.738172125963678e-17,9.744016872953603e-17,6.293848530890504e-16
efficient,10,745,all,primitive,v,value,2.8851963303352614e-17,3.898541489283875e-17,2.1906304895069617e-16
efficient,10,745,all,primitive,w,dx,1.3998953633479167e-17,2.5344444861135468e-17,2.309188632342962e-16
efficient,10,745,all,primitive,w,dy,1.527845573208099e-17,3.141260237179635e-17,3.432097034144436e-16
efficient,10,745,all,primitive,w,dz,2.233547494055103e-17,3.815064707601774e-17,2.611586806051036e-16
efficient,10,745,all,primitive,w,gradient,3.79424528319031e-17,5.553885437607245e-17,3.8360009918682896e-16
efficient,10,745,all,primitive,w,value,1.5810631622190697e-17,2.1968086257663095e-17,1.3044307387716225e-16
efficient,10,745,boundary,conservative,rho,dx,3.415181793972511e-16,6.021103849316899e-16,4.4158622749092616e-15
efficient,10,745,boundary,conservative,rho,dy,3.7917457481429063e-16,6.882410225148384e-16,3.809308757644035e-15
efficient,10,745,boundary,conservative,rho,dz,6.342554218155366e-16,9.230299353904618e-16,4.134996313995103e-15
efficient,10,745,boundary,conservative,rho,gradient,1.035417849462933e-15,1.2993063081282175e-15,5.55972554075667e-15
efficient,10,745,boundary,conservative,rho,mean,3.512000749613424e-16,4.542098226019129e-16,1.4682265819798701e-15
efficient,10,745,boundary,conservative,rho,value,3.1466252263215536e-16,4.295073668094634e-16,1.7973903615464693e-15
efficient,10,745,boundary,conservative,rhoE,dx,1.165830572607461e-15,2.02160610146052e-15,1.0450043675985961e-14
efficient,10,745,boundary,conservative,rhoE,dy,1.057142169760516e-15,1.8770942746809542e-15,1.1583151201505324e-14
efficient,10,745,boundary,conservative,rhoE,dz,2.036771953618675e-15,2.8524153653489723e-15,1.1113776999388536e-14
efficient,10,745,boundary,conservative,rhoE,gradient,3.275197162679397e-15,3.968204576629251e-15,1.3893208291717577e-14
efficient,10,745,boundary,conservative,rhoE,mean,1.104669955162931e-15,1.3721486706212627e-15,4.004175463423465e-15
efficient,10,745,boundary,conservative,rhoE,value,1.7240394530820784e-15,2.1455083404779617e-15,6.187758638809271e-15
efficient,10,745,boundary,conservative,rhou,dx,1.122300096154361e-16,1.9153756617193565e-16,1.0515863218185303e-15
efficient,10,745,boundary,conservative,rhou,dy,1.1913173120287114e-16,2.161808699675144e-16,1.4450297376863638e-15
efficient,10,745,boundary,conservative,rhou,dz,1.8998867926527783e-16,2.63044209804197e-16,1.0377521562074995e-15
efficient,10,745,boundary,conservative,rhou,gradient,3.1999956258598855e-16,3.9065722072744865e-16,1.454498844292875e-15
efficient,10,745,boundary,conservative,rhou,mean,1.1313625829786362e-16,1.4014233769432572e-16,4.1297260749972864e-16
